"IDNota";"Titulo";"Nota"
88;"¿Cómo se puede evitar que el repollo crudo resulta indigesto?";"El repollo crudo no resulta indigesto si, antes de utilizarlo, se deja reposar, ya cortado, en un recipiente, que no debe ser metálico con abundante sal gruesa, durante unos 15 min., luego se lo enjuaga."
89;"¿Cuál es el vino más apropiado para acompañar quesos?";"El vino de buena calidad, con cuerpo es el más apropiado para acompañar quesos."
90;"¿Cómo se enfria el vino blanco?";"Los vinos blancos, antes de servir, se refrigeran durante 2 hs. como máximo o se introducen en un balde con hielo 30 min."
91;"¿Cómo evitar que las papas hervidas con cáscara se ennegrezcan?";"Las papas hervidas sin pelar no se oscurecen si se les echa al agua de su cocción una cucharada de vinagre de alcohol o de vino blanco."
92;"¿Cómo lograr papas al horno más tentadoras?";"Las papas al horno quedarán más doradas y crocantes si las cocina en una placa aceitada y precalentada. Una vez cocidas, déjelas en la placa durante cinco minutos. Luego podrá desprenderlas con facilidad, sin que la cubierta crocante quede pegada a la asadera."
93;"¿Cómo se logra una ""crema agria/ácida""?";"Si necesita utilizar crema agria en alguna receta, sólo debe agregar dos cucharaditas de jugo de limón a 200 gramos de crema de leche natural."
94;"¿Cómo se elimina el olor fuerte de los riñones?";"Para quitar el olor fuerte a los riñones hay que abrirlos por la mitad y dejarlos reposar en sal gruesa o vinagre 15 min., luego enjuagarlos con abundante agua y secarlos."
95;"¿Cómo lograr cebollas rehogadas más gustosas?";"Para que las cebollas tengan mejor sabor, rehóguelas en manteca y unas gotas de vermut. Quedarán mucho más sabrosas."
96;"¿Cómo impedir que la cebolla nos haga llorar?";"Para que la cebolla no lo haga llorar, coloque un trozo de pan en la punta del cuchillo que utilizará para cortarla. El pan absorberá la sustancia que irrita los ojos. Cuando deba picarla, hágalo con la boca llena de agua. Trate también de utilizar cebollas maduras y no las que estén muy verdes porque contienen más jugo, que saldrá al cortarlas."
98;"¿Cómo evitar que se quiebre un recipiente de vidrio?";"Cuando se va a colocar alimentos calientes en un recipiente de vidrio, para que no se quiebre hay que introducir previamente una cuchara de metal."
99;"¿Cómo guardar el perejil como especia?";"Separar las hojas y desechar los tallos del perejil, lavar y secar con un paño limpio y dejar en el horno, en una asadera o placa, a temperatura muy baja, cuidando que no se queme. Una vez seco, pulverícelo con sus manos y guárdelo en un frasco herméticamente cerrado para usar como condimento."
100;"¿Cómo puede conservarse la cebolla picada?";"La cebolla rallada o picada debe guardarse en un frasco hermético en la heladera, pero tenga en cuenta que sólo se conserva bien durante cuatro o cinco días."
101;"¿Cómo se pela fácilmente el ajo?";"Para pelar el ajo sin dificultad es aconsejable dejarlo en agua caliente un par de horas o aplastarlo sobre una superficie dura."
102;"¿Cómo pueden evitarse los efectos de la fermentación de las legumbres?";"Para prevenir los efectos de la fermentación las legumbres éstas deben cocinarse sin haber sido previamente remojadas en agua. Conviene, por lo tanto, agregarles agua, caliente, durante la cocción, a medida que el líquido se va absorbiendo."
103;"¿Se debe desechar el agua de cocción de legumbres?";"No. Aproveche el agua de cocción de las legumbres para preparar caldos, sopas y cremas, pues es muy nutritiva."
104;"¿Qué hacer para lograr el mejor caldo de pollo?";"Para hacer un caldo de pollo bien sabroso conviene aprovechar todas sus partes. Las patas, la cabeza, el cogote, los menudos y la piel del pollo son ideales para acentuar el sabor final de la preparación."
105;"¿Cómo conservar mejor la carne de pollo?";"Cuando se compra pollo en el supermercado hay que quitarle enseguida el envoltorio y envolverlo en papel aluminio, para conservarlo en mejor estado."
106;"¿Qué hay que saber a la hora de cocinar platos con mejillones?";"Es importante descartar los mejillones que no se abrieron durante la cocción, porque pueden estar en mal estado."
107;"¿Cómo se derrite el chocolate?";"Al chocolate cobertura nunca hay que agregarle agua para derretirlo. Conviene rallarlo, para facilitar el proceso, y ponerlo en un recipiente a baño maría."
108;"¿Cómo impedir que la fruta cortada se ennegrezca?";"Para que las manzanas y bananas no se ennegrezcan después de pelarlas, rocíelas con jugo de limón."
109;"¿Qué precaución hay que tener cuando se hace el proceso de ahumar alimentos en el horno?";"Cuando el proceso de ahumado se hace en el horno hay que encender el extractor de aire o ventilar muy bien, ya que a pesar de estar el horno cerrado igual despide mucho humo."
111;"¿Cómo facilitar el batido de claras a punto nieve?";"Para facilitar el batido se añade, a las claras, una pizca de sal, pues afloja las proteínas y las hace más espumosas."
112;"¿Hay que tener alguna precaución cuando se adquiere café?";"El café pierde muy rápidamente su aroma y sabor, sobre todo si está molido, por lo cual conviene comprarlo en pequeñas cantidades y envasado al vacío."
113;"¿Porqué es necesario poner la masa para medialunas y facturas de manteca en el frío?";"Cuando se trabaja este tipo de masa es necesario ponerla en la heladera o el frezeer, para que la masa no se leve durante el proceso de elaboración y para que tenga consistencia y no se nos ponga babosa, pues si esto sucede es muy difícil trabajarla. También el frío ayuda a que entre vuelta y vuelta las capas de masa y empaste que se van formando no se unan, si la manteca del empaste se derrite mucho, se va a unir con la masa, y esto puede perjudicarlas."
114;"¿Cómo amasar sin ensuciarse ni pegotearse las manos?";"Para amasar, manteniendo las manos limpias, hay que colocar la masa dentro de una bolsa de plástico, previo a comenzar a trabarjarla."
115;"¿Por qué en las recetas se indica un tiempo de descanso de la masa?";"El tiempo de descanso tiene por objeto que la masa adquiera elasticidad."
116;"¿Cómo sustituir el azúcar impalpable?";"Si no se tiene azúcar impalpable es posible reemplazarlo colocando una taza de azúcar común en la licuadora y procesarlo por unos segundos o minutos, según la potencia de la máquina. Para evitar que este azúcar se humedezca se recomienda guardarlo en un frasco cerrado."
117;"¿Cómo lograr que la cáscara del huevo no se rompa durante la cocción?";"Para que la cáscara no se cuartee durante la cocción, el huevo debe estar la temperatura ambiente."
118;"¿Se pueden conservar los champiñones?";"Los champiñones se deben consumir bien frescos, pero en la heladera se conservan hasta 4 días."
119;"¿Es posible suavizar el sabor del ajo?";"Una forma de suavizar el sabor del ajo es que envolverlo en papel absorbente, luego golpearlo y apretarlo."
120;"¿Cómo se puede mejorar el aspecto de las pasas de uva?";"Las pasas de uva mejoran su presentación si se las hidrata en una sustancia líquida durante 10 min."
122;"¿Puede aprovecharse el agua donde se hirvieron papas?";"Por supuesto. Puede utilizar un poco de esa agua de cocción para hacer puré, agregándole leche en polvo y manteca."
123;"¿Cómo se pueden tiernizar los bifes?";"Para que los bifes se vuelvan más tiernos conviene golpear su superficie con la ayuda de un palo de amasar o una masa de cocina. Los golpeteos ayudan a romper los tejidos conectivos de la carne y, por lo tanto, a quitarles rigidez."
124;"¿Cómo aprovechar al máximo el apio?";"Para un mejor aprovechamiento de la planta de apio, siga estos consejos: emplee las hojas en un caldo, las pencas en las comidas y su corazón en salsas y entradas frías."
125;"¿Hay que condimentar los alimentos que van al microondas?";"Sí. Para lograr platos sabrosos es imprescindible condimentar muy bien los ingredientes. Recuerde que como se acortan los tiempos de cocción, los alimentos poco condimentados tienen menos posibilidad de absorber las especias que haya elegido para realzar su sabor."
126;"¿Pueden aprovecharse las cáscaras de papa?";"Claro. Las cáscaras de papas orgánicas pueden utilizarse para preparar tortillas y omelettes, bien lavadas, cortadas en juliana y rociadas con jugo de limón. Use para ello cien gramos de cáscaras y rehóguelas junto a una cebolla picada en aceite. Luego agrégueles tres huevos batidos, condimentos y cocine la mezcla como cualquier otra tortilla."
127;"¿Cómo hornear las manzanas sin que se rompan?";"Para que las manzanas al horno no se rompan al cocerlas conviene hacerles un corte superficial en la cáscara o untarlas con aceite."
128;"¿Cuánto tiempo demora la cocción del cerdo?";"No se puede dar una respuesta exacta, porque depende de cada corte, pero recuerde que la carne de cerdo necesita un tiempo más prolongado que otras carnes para cocinarse. Siga de cerca la cocción, entonces, para evitar esperas innecesarias."
129;"¿Es necesario descongelar la carne someterla a cocción?";"Los bifes, las hamburguesas y las milanesas no necesitan descongelarse para cocinarlas."
130;"¿Qué precauciones hay que tomar con la carne picada?";"La carne picada debe consumirse rápidamente (no más de dos o tres días después de haber sido comprada), porque se descompone con facilidad y su ingesta en ese estado resulta peligrosa."
131;"¿Cuáles son los mejores cortes de carne porcina?";"La carne de cerdo más tierna es la del lomo, o espalda, de donde se extraen diferentes cortes."
132;"¿Cómo lograr que el arroz no cambie de color en su cocción?";"Si quiere que el arroz quede bien blanco agréguele al agua de su cocción una cucharada de vinagre de alcohol."
134;"¿Es posible hacer aceite picante en casa?";"Sí, para fabricar aceite picante casero hay que colocar en una botella de aceite un ají seco o fresco (pinchado con un escarbadientes) y dejar reposar un mes antes de utilizarlo."
135;"¿Cómo pueden aprovecharse los restos de pan?";"Si sobra pan, lo usual es convertirlo en pan rallado. Para eso conviene secar los restos en el horno y procesarlos de una taza a la vez, descortezándolos previamente. También se lo puede tostar y cortar luego en pequeños cubitos. En este caso, guárdelos en un frasco y empléelos como guarnición de sopas crema o ensaladas, rehogándolos previamente en aceite."
136;"¿Cuál es la forma más segura para condimentar un plato con chile?";"Para evitar un excesivo sabor picante es conveniente saltear en dos cucharadas de aceite mezcla un chile."
137;"¿Qué precauciones hay que tener cuando se utiliza jengibre fresco?";"Antes de rallar o picar o cortar el jengibre fresco, es necesario pelarlo y retirarle las fibras."
138;"¿Qué cantidad de pasta cruda se debe calcular por persona?";"Por persona se debe calcular de 50 a 60 gr. de pasta cruda."
139;"¿Qué cantidad de líquido se requiere para cocer la pasta?";"Para cocer la pasta de debe calcular 1 litro de líquido cada 100 g. de pasta."
140;"¿Qué hacer para que las empanadas no pierdan su relleno en el horno?";"Para evitar que las empanadas al horno se abran durante la cocción y derramen su relleno se recomienda pinchar uno de sus extremos con un tenedor o escarbadiente, antes de ponerlas a cocinar. Con esto se logra sacarles el aire del interior."
141;"¿Las hierbas frescas y las secas se diferencian en la utilización?";"Las hierbas frescas se utilizan en ensaladas y salsas, las secas son más apropiadas platos que requieren tiempos de cocción prolongados."
142;"¿Cómo picar más facilmente el perejil?";"Para picar el perejil con facilidad mójelo, previamente, con agua caliente."
143;"¿Dónde deben cocinarse los dulces?";"Lo recomendable es hacerlo en una cazuela de barro o enlozada, destapada. Cuando corresponda revolver, hacerlo con cuchara de madera."
145;"¿Cómo retirar la piel a la raíz de jengibre?";"El forma más fácil de pelar la raíz de jengibre es rasparla con el canto de una cuchara."
146;"¿Hay que pinchar la carne durante la cocción?";"Durante la cocción nunca debe pincharse la carne, para evitar la pérdida de jugos."
147;"¿Cómo puede aprovecharse todo el puerro?";"Cuando la receta solamente requiere la parte blanca o tierna del puerro, no deseche el resto pues la parte verde es perfecta para darle sabor a un caldo de verduras. Blanqueada, esta parte sirve también como ""lazo"" para cerrar panqueques o paquetitos de verdura."
148;"¿Qué hacer para que el aceite no salpique?";"Si no quiere que el aceite de la fritura salpique, coloque en la sartén u olla un poquito de sal."
149;"¿Es posible hornear pollo sin ensuciar el horno?";"Para no ensuciar el horno conviene cocer el pollo en una bolsa especial."
150;"¿Qué hay que tener en cuenta cuando va a asar carne?";"La carne para asar tiene que estar a temperatura ambiente."
151;"¿Cómo lograr carnes a la parrilla o plancha más sabrosas?";"La carne a la parilla o plancha tiene mejor sabor si se condimenta al finalizar la cocción."
152;"¿A que temperatura debe estar la cerveza, cuando se utiliza como ingrediente?";"La cerveza que se va a utilizar como ingrediente debe estar a temperatura ambiente."
